Route ID,Direction,Route Length (miles),Stops per Mile,Mean Stop Spacing (ft),Stop Spacing Std Dev (ft),% Bus Lane Coverage,Stop Signs per Mile,Street Lights per Mile,Right Angle Turns,Curvature per Mile,Borough,Type
B20,N,7.419804626267593,7.547368538754887,712.2988124860766,329.8748976469536,0.8938243674035609,0.6738721909602579,7.277819662370784,33.0,249.24365254736065,Brooklyn,Local
B20,S,7.280570239803618,7.691705203782295,698.9279326099504,228.3153705246996,0.3063400925292307,1.9229263009455737,6.455538296031569,33.0,249.24365254736065,Brooklyn,Local
B24,S,6.265613088548102,5.5860455322354365,973.0099312634622,1257.4863378079972,0.0,0.4788039027630374,8.458868948813661,18.0,193.08114025451496,Brooklyn,Local
B25,E,6.1674308529686295,6.809966905390391,794.2394563065441,253.4664894281838,24.07515817563422,0.8107103458798085,11.025660703965396,5.0,60.623097546225765,Brooklyn,Local
B25,W,5.768221736284955,6.414455215417913,845.996835922655,247.78793553161267,25.71953787016631,0.3467273089415088,12.135455812952808,5.0,60.623097546225765,Brooklyn,Local
B26,E,6.213051744859008,6.438060013438327,841.1516208424501,284.21522827915186,29.49072614948747,0.3219030006719163,10.300896021501323,15.0,160.06868992403042,Brooklyn,Local
B26,W,5.763447684976591,6.94029028913836,780.2774900852393,179.94429438350355,25.48089567255809,0.694029028913836,10.583942690936,15.0,160.06868992403042,Brooklyn,Local
B3,E,5.332122944878337,8.439415307035228,639.8540921396832,192.3335241277396,0.0,0.3750851247571212,14.628319865527727,1.0,25.24905666719427,Brooklyn,Local
B3,W,5.351154118849841,7.8487741274451155,689.1242377445649,267.8262342602057,0.0,0.5606267233889368,14.950045957038316,1.0,25.24905666719427,Brooklyn,Local
B31,N,2.8091634379242647,7.11955727815478,780.6406656046029,232.86994723957,0.0,0.3559778639077389,8.543468733785735,7.0,104.58354225689732,Brooklyn,Local
B32,N,3.656599336769644,5.469562880156467,1016.1223821672774,382.5362566076272,0.0,0.82043443202347,9.298256896265992,13.0,187.24216054406008,Brooklyn,Local
B32,S,3.642693278349495,5.764965204403678,961.6609948270964,598.5389572175374,0.0,1.9216550681345592,9.059231035491496,13.0,187.24216054406008,Brooklyn,Local
B36,E,5.887704435985559,7.812892189160975,690.8208562971221,221.7608350472101,3.279243690967874,1.1889183766114528,8.6621196010263,12.0,122.07565183929329,Brooklyn,Local
B36,W,5.664901545056208,6.35492068373499,854.5807533967497,776.6386284749562,3.4081470192353303,1.059153447289165,8.82627872740971,12.0,122.07565183929329,Brooklyn,Local
B37,N,6.130394309712855,7.177352349144559,752.7553943089273,255.02186861902305,0.0,0.16312164429874,16.638407718471477,9.0,74.95313181756623,Brooklyn,Local
B37,S,6.099678023935294,6.229837025968751,870.4405396318473,290.8483549520879,0.0,0.1639430796307566,16.722194122337175,9.0,74.95313181756623,Brooklyn,Local
B39,E,1.776244276098618,1.6889568852485006,4689.196441304759,5663.149672060368,1.515379458206383,0.562985628416167,3.3779137704970013,3.0,142.46317463459715,Brooklyn,Local
B39,W,1.9052660047178256,2.099444376845641,3353.2681683033734,4744.064655270068,1.7943669904559971,0.5248610942114103,3.674027659479872,3.0,142.46317463459715,Brooklyn,Local
B4,E,9.355267115142093,6.734174366654964,796.7059529931654,227.6258723498318,0.1189822344869812,0.8551332529085668,9.620249095221377,23.0,158.32081691160502,Brooklyn,Local
B4,W,8.956014590498715,7.257692508558149,738.8675026907551,229.0999059711837,0.082873047043586,0.223313615647943,10.160769511981409,23.0,158.32081691160502,Brooklyn,Local
B42,N,1.3305561312971657,7.515654367960374,780.5810457239768,260.69585048657046,15.168252977944208,0.7515654367960374,8.267219804756412,2.0,136.48524785153134,Brooklyn,Local
B42,S,1.3082765694380665,7.643643732223395,767.5124197648115,232.1850194858504,10.673220416935193,0.7643643732223395,8.408008105445735,2.0,136.48524785153134,Brooklyn,Local
B43,N,6.97527520359021,7.598266513229561,708.257110631957,260.61920226964094,0.2673568583681974,1.1469081529403111,12.75935320146096,17.0,168.8944216585448,Brooklyn,Local
B44+,N,9.470849802870694,2.111742918142133,2631.8660706450232,864.6333916360596,47.7508138664691,0.1055871459071066,12.353696071131475,11.0,55.44102710241224,Brooklyn,SBS
B44+,S,9.2847309111796,2.154074274346315,2580.172600698262,742.943110745966,57.25509870794048,0.1077037137173157,12.17051965005668,11.0,55.44102710241224,Brooklyn,SBS
B45,E,4.796996585882275,6.670840686895024,817.0323055159467,373.006162634086,12.136191109485353,0.2084637714654695,11.048579887669884,9.0,138.5945654137211,Brooklyn,Local
B46,S,8.02943227593,6.600715739128808,815.2937066755222,272.5692122744189,53.70612324194229,0.1245418063986567,12.32963883346702,5.0,37.81474289582774,Brooklyn,Local
B46+,N,5.939869026930771,2.18860044574372,2613.5359158774945,951.774545110199,74.86443047877505,0.1683538804418246,11.784771630927722,2.0,14.918771700761784,Brooklyn,SBS
B46+,S,6.108312645117479,2.291958649364573,2480.8517493259114,919.5883138269264,70.5971741095419,0.1637113320974695,11.623504578920334,2.0,14.918771700761784,Brooklyn,SBS
B47,S,7.284302170294175,7.275920021019612,739.636835752947,249.61969732687064,0.0931927563337491,0.4118445294916761,12.218054374919726,15.0,109.2039990276318,Brooklyn,Local
B48,N,6.065464066740101,7.58392094880925,711.6766274814435,251.1626281455104,0.9053763092278352,1.978414160558935,10.221806496221165,11.0,154.08580219290238,Brooklyn,Local
B49,N,9.005465959347024,7.328882291925912,731.5209271592659,233.70798310169036,33.679487445624105,0.4441746843591462,10.771236095709297,16.0,96.05015271477896,Brooklyn,Local
B52,E,5.255795906682663,6.65931490138307,816.1941878613077,250.20102631190275,17.58431505120896,0.1902661400395162,11.035436122291944,8.0,98.85852161240432,Brooklyn,Local
B52,W,5.073200045242075,7.293227089418764,744.0693399688375,216.7214259697162,18.19188256070034,0.1971142456599666,11.03839775695813,8.0,98.85852161240432,Brooklyn,Local
B54,W,4.274799727337556,7.7196598916584,705.3399015787095,221.06375455224187,2.958807632422687,0.4678581752520243,10.994667118422573,9.0,103.04427681670232,Brooklyn,Local
B57,E,7.852312403189199,5.730795934930372,942.2774883827038,487.4283568837512,5.171164822592559,0.8914571454336134,9.806028599769748,19.0,109.5791935315431,Brooklyn,Local
B57,W,8.038357563753816,5.971369103613821,903.0303298503304,521.5616343494759,7.4962255173705135,0.8708246609436822,10.201088885340276,19.0,109.5791935315431,Brooklyn,Local
B60,N,7.834950692542462,8.551425864590646,626.7957577031362,222.0514107347473,1.779212473672216,1.914498327893428,10.593557414343636,19.0,130.6253927916905,Brooklyn,Local
B60,S,8.030648500298092,8.21851435753291,652.3357551011375,214.1875825827828,3.9341575891517913,1.8678441721665704,9.58826675045506,19.0,130.6253927916905,Brooklyn,Local
B62,N,9.73576683835586,5.443844422320867,988.5502701874424,581.2740530767397,18.421598227742937,1.2325685484500075,10.27140457041673,30.0,154.02440379145833,Brooklyn,Local
B62,S,9.31352458396969,5.261166120110761,1024.2132911846008,626.1494346424603,20.576961135052574,0.8589658971609405,10.951815188801993,30.0,154.02440379145833,Brooklyn,Local
B63,S,7.553005177498052,7.281869760113001,738.5160617998096,238.2605180485432,0.0,0.5295905280082183,17.60888505627326,12.0,89.4875357256902,Brooklyn,Local
B64,S,6.607762554936606,7.566857856090093,712.0201283686793,189.21630972091452,0.0,1.5133715712180185,9.080229427308112,27.0,186.2741109470328,Brooklyn,Local
